"year_week","start_date","end_date","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"2018-46",2018-11-12,2018-11-18,"FLU A",193,193,7
"2018-46",2018-11-12,2018-11-18,"A",193,193,0
"2018-46",2018-11-12,2018-11-18,"A(H3N2)",193,193,3
"2018-46",2018-11-12,2018-11-18,"A(H1N1) pdm09",193,193,4
"2018-46",2018-11-12,2018-11-18,"FLU B",193,193,1
"2018-47",2018-11-19,2018-11-25,"FLU A",222,222,19
"2018-47",2018-11-19,2018-11-25,"A",222,222,0
"2018-47",2018-11-19,2018-11-25,"A(H3N2)",222,222,13
"2018-47",2018-11-19,2018-11-25,"A(H1N1) pdm09",222,222,6
"2018-47",2018-11-19,2018-11-25,"FLU B",222,222,0
"2018-48",2018-11-26,2018-12-02,"FLU A",254,254,20
"2018-48",2018-11-26,2018-12-02,"A",254,254,1
"2018-48",2018-11-26,2018-12-02,"A(H3N2)",254,254,11
"2018-48",2018-11-26,2018-12-02,"A(H1N1) pdm09",254,254,8
"2018-48",2018-11-26,2018-12-02,"FLU B",254,254,0
"2018-49",2018-12-03,2018-12-09,"FLU A",320,320,19
"2018-49",2018-12-03,2018-12-09,"A",320,320,0
"2018-49",2018-12-03,2018-12-09,"A(H3N2)",320,320,9
"2018-49",2018-12-03,2018-12-09,"A(H1N1) pdm09",320,320,10
"2018-49",2018-12-03,2018-12-09,"FLU B",320,320,0
"2018-50",2018-12-10,2018-12-16,"FLU A",346,346,35
"2018-50",2018-12-10,2018-12-16,"A",346,346,0
"2018-50",2018-12-10,2018-12-16,"A(H3N2)",346,346,10
"2018-50",2018-12-10,2018-12-16,"A(H1N1) pdm09",346,346,25
"2018-50",2018-12-10,2018-12-16,"FLU B",346,346,0
"2018-51",2018-12-17,2018-12-23,"FLU A",410,410,55
"2018-51",2018-12-17,2018-12-23,"A",410,410,1
"2018-51",2018-12-17,2018-12-23,"A(H3N2)",410,410,22
"2018-51",2018-12-17,2018-12-23,"A(H1N1) pdm09",410,410,32
"2018-51",2018-12-17,2018-12-23,"FLU B",410,410,0
