"year_week","start_date","end_date","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2015-46",2015-11-09,2015-11-15,"FLU A",101,0
"2015-46",2015-11-09,2015-11-15,"A",101,0
"2015-46",2015-11-09,2015-11-15,"A(H3N2)",101,0
"2015-46",2015-11-09,2015-11-15,"A(H1N1) pdm09",101,0
"2015-46",2015-11-09,2015-11-15,"FLU B",101,0
"2015-47",2015-11-16,2015-11-22,"FLU A",111,0
"2015-47",2015-11-16,2015-11-22,"A",111,0
"2015-47",2015-11-16,2015-11-22,"A(H3N2)",111,0
"2015-47",2015-11-16,2015-11-22,"A(H1N1) pdm09",111,0
"2015-47",2015-11-16,2015-11-22,"FLU B",111,0
"2015-48",2015-11-23,2015-11-29,"FLU A",114,1
"2015-48",2015-11-23,2015-11-29,"A",114,0
"2015-48",2015-11-23,2015-11-29,"A(H3N2)",114,1
"2015-48",2015-11-23,2015-11-29,"A(H1N1) pdm09",114,0
"2015-48",2015-11-23,2015-11-29,"FLU B",114,0
"2015-49",2015-11-30,2015-12-06,"FLU A",146,2
"2015-49",2015-11-30,2015-12-06,"A",146,1
"2015-49",2015-11-30,2015-12-06,"A(H3N2)",146,1
"2015-49",2015-11-30,2015-12-06,"A(H1N1) pdm09",146,0
"2015-49",2015-11-30,2015-12-06,"FLU B",146,2
"2015-50",2015-12-07,2015-12-13,"FLU A",150,3
"2015-50",2015-12-07,2015-12-13,"A",150,0
"2015-50",2015-12-07,2015-12-13,"A(H3N2)",150,2
"2015-50",2015-12-07,2015-12-13,"A(H1N1) pdm09",150,1
"2015-50",2015-12-07,2015-12-13,"FLU B",150,0
"2015-51",2015-12-14,2015-12-20,"FLU A",166,6
"2015-51",2015-12-14,2015-12-20,"A",166,0
"2015-51",2015-12-14,2015-12-20,"A(H3N2)",166,2
"2015-51",2015-12-14,2015-12-20,"A(H1N1) pdm09",166,4
"2015-51",2015-12-14,2015-12-20,"FLU B",166,1
"2015-52",2015-12-21,2015-12-27,"FLU A",116,10
"2015-52",2015-12-21,2015-12-27,"A",116,0
"2015-52",2015-12-21,2015-12-27,"A(H3N2)",116,3
"2015-52",2015-12-21,2015-12-27,"A(H1N1) pdm09",116,7
"2015-52",2015-12-21,2015-12-27,"FLU B",116,0
"2015-53",2015-12-28,2016-01-03,"FLU A",123,11
"2015-53",2015-12-28,2016-01-03,"A",123,1
"2015-53",2015-12-28,2016-01-03,"A(H3N2)",123,6
"2015-53",2015-12-28,2016-01-03,"A(H1N1) pdm09",123,4
"2015-53",2015-12-28,2016-01-03,"FLU B",123,0
"2016-01",2016-01-04,2016-01-10,"FLU A",210,11
"2016-01",2016-01-04,2016-01-10,"A",210,2
"2016-01",2016-01-04,2016-01-10,"A(H3N2)",210,6
"2016-01",2016-01-04,2016-01-10,"A(H1N1) pdm09",210,3
"2016-01",2016-01-04,2016-01-10,"FLU B",210,3
"2016-02",2016-01-11,2016-01-17,"FLU A",255,27
"2016-02",2016-01-11,2016-01-17,"A",255,5
"2016-02",2016-01-11,2016-01-17,"A(H3N2)",255,7
"2016-02",2016-01-11,2016-01-17,"A(H1N1) pdm09",255,15
"2016-02",2016-01-11,2016-01-17,"FLU B",255,19
"2016-03",2016-01-18,2016-01-24,"FLU A",307,30
"2016-03",2016-01-18,2016-01-24,"A",307,1
"2016-03",2016-01-18,2016-01-24,"A(H3N2)",307,13
"2016-03",2016-01-18,2016-01-24,"A(H1N1) pdm09",307,16
"2016-03",2016-01-18,2016-01-24,"FLU B",307,34
"2016-04",2016-01-25,2016-01-31,"FLU A",463,78
"2016-04",2016-01-25,2016-01-31,"A",463,9
"2016-04",2016-01-25,2016-01-31,"A(H3N2)",463,40
"2016-04",2016-01-25,2016-01-31,"A(H1N1) pdm09",463,29
"2016-04",2016-01-25,2016-01-31,"FLU B",463,102
"2016-05",2016-02-01,2016-02-07,"FLU A",530,95
"2016-05",2016-02-01,2016-02-07,"A",530,7
"2016-05",2016-02-01,2016-02-07,"A(H3N2)",530,49
"2016-05",2016-02-01,2016-02-07,"A(H1N1) pdm09",530,39
