"year_week","start_date","end_date","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"2019-46",2019-11-11,2019-11-17,"FLU A",307,273,3
"2019-46",2019-11-11,2019-11-17,"A",307,273,0
"2019-46",2019-11-11,2019-11-17,"A(H3N2)",307,273,2
"2019-46",2019-11-11,2019-11-17,"A(H1N1) pdm09",307,273,1
"2019-46",2019-11-11,2019-11-17,"FLU B",307,273,0
"2019-47",2019-11-18,2019-11-24,"FLU A",514,466,3
"2019-47",2019-11-18,2019-11-24,"A",514,466,0
"2019-47",2019-11-18,2019-11-24,"A(H3N2)",514,466,1
"2019-47",2019-11-18,2019-11-24,"A(H1N1) pdm09",514,466,2
"2019-47",2019-11-18,2019-11-24,"FLU B",514,466,1
"2019-48",2019-11-25,2019-12-01,"FLU A",383,343,15
"2019-48",2019-11-25,2019-12-01,"A",383,343,0
"2019-48",2019-11-25,2019-12-01,"A(H3N2)",383,343,9
"2019-48",2019-11-25,2019-12-01,"A(H1N1) pdm09",383,343,6
"2019-48",2019-11-25,2019-12-01,"FLU B",383,343,3
"2019-49",2019-12-02,2019-12-08,"FLU A",544,469,26
"2019-49",2019-12-02,2019-12-08,"A",544,469,1
"2019-49",2019-12-02,2019-12-08,"A(H3N2)",544,469,22
"2019-49",2019-12-02,2019-12-08,"A(H1N1) pdm09",544,469,3
"2019-49",2019-12-02,2019-12-08,"FLU B",544,469,1
"2019-50",2019-12-09,2019-12-15,"FLU A",444,393,38
"2019-50",2019-12-09,2019-12-15,"A",444,393,0
"2019-50",2019-12-09,2019-12-15,"A(H3N2)",444,393,27
"2019-50",2019-12-09,2019-12-15,"A(H1N1) pdm09",444,393,11
"2019-50",2019-12-09,2019-12-15,"FLU B",444,393,7
"2019-51",2019-12-16,2019-12-22,"FLU A",518,471,54
"2019-51",2019-12-16,2019-12-22,"A",518,471,5
"2019-51",2019-12-16,2019-12-22,"A(H3N2)",518,471,42
"2019-51",2019-12-16,2019-12-22,"A(H1N1) pdm09",518,471,7
"2019-51",2019-12-16,2019-12-22,"FLU B",518,471,21
"2019-52",2019-12-23,2019-12-29,"FLU A",385,354,46
"2019-52",2019-12-23,2019-12-29,"A",385,354,4
"2019-52",2019-12-23,2019-12-29,"A(H3N2)",385,354,31
"2019-52",2019-12-23,2019-12-29,"A(H1N1) pdm09",385,354,11
"2019-52",2019-12-23,2019-12-29,"FLU B",385,354,22
"2020-01",2019-12-30,2020-01-05,"FLU A",538,483,60
"2020-01",2019-12-30,2020-01-05,"A",538,483,5
"2020-01",2019-12-30,2020-01-05,"A(H3N2)",538,483,30
"2020-01",2019-12-30,2020-01-05,"A(H1N1) pdm09",538,483,25
"2020-01",2019-12-30,2020-01-05,"FLU B",538,483,25
"2020-02",2020-01-06,2020-01-12,"FLU A",872,796,128
"2020-02",2020-01-06,2020-01-12,"A",872,796,3
"2020-02",2020-01-06,2020-01-12,"A(H3N2)",872,796,70
"2020-02",2020-01-06,2020-01-12,"A(H1N1) pdm09",872,796,55
"2020-02",2020-01-06,2020-01-12,"FLU B",872,796,50
"2020-03",2020-01-13,2020-01-19,"FLU A",953,831,213
"2020-03",2020-01-13,2020-01-19,"A",953,831,10
"2020-03",2020-01-13,2020-01-19,"A(H3N2)",953,831,99
"2020-03",2020-01-13,2020-01-19,"A(H1N1) pdm09",953,831,104
"2020-03",2020-01-13,2020-01-19,"FLU B",953,831,90
"2020-04",2020-01-20,2020-01-26,"FLU A",1140,965,310
"2020-04",2020-01-20,2020-01-26,"A",1140,965,12
"2020-04",2020-01-20,2020-01-26,"A(H3N2)",1140,965,167
"2020-04",2020-01-20,2020-01-26,"A(H1N1) pdm09",1140,965,131
"2020-04",2020-01-20,2020-01-26,"FLU B",1140,965,145
"2020-05",2020-01-27,2020-02-02,"FLU A",1257,1102,364
"2020-05",2020-01-27,2020-02-02,"A",1257,1102,20
"2020-05",2020-01-27,2020-02-02,"A(H3N2)",1257,1102,195
"2020-05",2020-01-27,2020-02-02,"A(H1N1) pdm09",1257,1102,149
"2020-05",2020-01-27,2020-02-02,"FLU B",1257,1102,185
"2020-06",2020-02-03,2020-02-09,"FLU A",1264,1097,330
"2020-06",2020-02-03,2020-02-09,"A",1264,1097,25
"2020-06",2020-02-03,2020-02-09,"A(H3N2)",1264,1097,180
"2020-06",2020-02-03,2020-02-09,"A(H1N1) pdm09",1264,1097,125
"2020-06",2020-02-03,2020-02-09,"FLU B",1264,1097,186
"2020-07",2020-02-10,2020-02-16,"FLU A",1191,1054,343
"2020-07",2020-02-10,2020-02-16,"A",1191,1054,32
"2020-07",2020-02-10,2020-02-16,"A(H3N2)",1191,1054,193
"2020-07",2020-02-10,2020-02-16,"A(H1N1) pdm09",1191,1054,118
"2020-07",2020-02-10,2020-02-16,"FLU B",1191,1054,205
"2020-08",2020-02-17,2020-02-23,"FLU A",1072,918,290
"2020-08",2020-02-17,2020-02-23,"A",1072,918,58
"2020-08",2020-02-17,2020-02-23,"A(H3N2)",1072,918,144
"2020-08",2020-02-17,2020-02-23,"A(H1N1) pdm09",1072,918,88
"2020-08",2020-02-17,2020-02-23,"FLU B",1072,918,155
"2020-09",2020-02-24,2020-03-01,"FLU A",761,686,195
"2020-09",2020-02-24,2020-03-01,"A",761,686,12
"2020-09",2020-02-24,2020-03-01,"A(H3N2)",761,686,126
"2020-09",2020-02-24,2020-03-01,"A(H1N1) pdm09",761,686,57
"2020-09",2020-02-24,2020-03-01,"FLU B",761,686,97
"2020-10",2020-03-02,2020-03-08,"FLU A",475,441,80
"2020-10",2020-03-02,2020-03-08,"A",475,441,9
"2020-10",2020-03-02,2020-03-08,"A(H3N2)",475,441,47
"2020-10",2020-03-02,2020-03-08,"A(H1N1) pdm09",475,441,24
"2020-10",2020-03-02,2020-03-08,"FLU B",475,441,39
"2020-11",2020-03-09,2020-03-15,"FLU A",239,228,14
"2020-11",2020-03-09,2020-03-15,"A",239,228,2
"2020-11",2020-03-09,2020-03-15,"A(H3N2)",239,228,5
"2020-11",2020-03-09,2020-03-15,"A(H1N1) pdm09",239,228,7
"2020-11",2020-03-09,2020-03-15,"FLU B",239,228,13
"2020-12",2020-03-16,2020-03-22,"FLU A",97,89,2
"2020-12",2020-03-16,2020-03-22,"A",97,89,0
"2020-12",2020-03-16,2020-03-22,"A(H3N2)",97,89,2
"2020-12",2020-03-16,2020-03-22,"A(H1N1) pdm09",97,89,0
"2020-12",2020-03-16,2020-03-22,"FLU B",97,89,0
"2020-13",2020-03-23,2020-03-29,"FLU A",77,44,0
"2020-13",2020-03-23,2020-03-29,"A",77,44,0
"2020-13",2020-03-23,2020-03-29,"A(H3N2)",77,44,0
"2020-13",2020-03-23,2020-03-29,"A(H1N1) pdm09",77,44,0
"2020-13",2020-03-23,2020-03-29,"FLU B",77,44,0
"2020-14",2020-03-30,2020-04-05,"FLU A",68,39,1
"2020-14",2020-03-30,2020-04-05,"A",68,39,0
"2020-14",2020-03-30,2020-04-05,"A(H3N2)",68,39,0
"2020-14",2020-03-30,2020-04-05,"A(H1N1) pdm09",68,39,1
"2020-14",2020-03-30,2020-04-05,"FLU B",68,39,0
"2020-15",2020-04-06,2020-04-12,"FLU A",82,68,0
"2020-15",2020-04-06,2020-04-12,"A",82,68,0
"2020-15",2020-04-06,2020-04-12,"A(H3N2)",82,68,0
"2020-15",2020-04-06,2020-04-12,"A(H1N1) pdm09",82,68,0
