"year_week","start_date","end_date","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2014-46",2014-11-10,2014-11-16,"FLU A",66,1
"2014-46",2014-11-10,2014-11-16,"A",66,0
"2014-46",2014-11-10,2014-11-16,"A(H3N2)",66,1
"2014-46",2014-11-10,2014-11-16,"A(H1N1) pdm09",66,0
"2014-46",2014-11-10,2014-11-16,"FLU B",66,0
"2014-47",2014-11-17,2014-11-23,"FLU A",58,4
"2014-47",2014-11-17,2014-11-23,"A",58,0
"2014-47",2014-11-17,2014-11-23,"A(H3N2)",58,1
"2014-47",2014-11-17,2014-11-23,"A(H1N1) pdm09",58,3
"2014-47",2014-11-17,2014-11-23,"FLU B",58,0
"2014-48",2014-11-24,2014-11-30,"FLU A",60,0
"2014-48",2014-11-24,2014-11-30,"A",60,0
"2014-48",2014-11-24,2014-11-30,"A(H3N2)",60,0
"2014-48",2014-11-24,2014-11-30,"A(H1N1) pdm09",60,0
"2014-48",2014-11-24,2014-11-30,"FLU B",60,0
"2014-49",2014-12-01,2014-12-07,"FLU A",85,6
"2014-49",2014-12-01,2014-12-07,"A",85,0
"2014-49",2014-12-01,2014-12-07,"A(H3N2)",85,2
"2014-49",2014-12-01,2014-12-07,"A(H1N1) pdm09",85,4
"2014-49",2014-12-01,2014-12-07,"FLU B",85,0
"2014-50",2014-12-08,2014-12-14,"FLU A",85,15
"2014-50",2014-12-08,2014-12-14,"A",85,1
"2014-50",2014-12-08,2014-12-14,"A(H3N2)",85,5
"2014-50",2014-12-08,2014-12-14,"A(H1N1) pdm09",85,9
"2014-50",2014-12-08,2014-12-14,"FLU B",85,2
"2014-51",2014-12-15,2014-12-21,"FLU A",132,40
"2014-51",2014-12-15,2014-12-21,"A",132,2
"2014-51",2014-12-15,2014-12-21,"A(H3N2)",132,11
"2014-51",2014-12-15,2014-12-21,"A(H1N1) pdm09",132,27
"2014-51",2014-12-15,2014-12-21,"FLU B",132,0
"2014-52",2014-12-22,2014-12-28,"FLU A",51,25
"2014-52",2014-12-22,2014-12-28,"A",51,0
"2014-52",2014-12-22,2014-12-28,"A(H3N2)",51,7
"2014-52",2014-12-22,2014-12-28,"A(H1N1) pdm09",51,18
"2014-52",2014-12-22,2014-12-28,"FLU B",51,2
"2015-01",2014-12-29,2015-01-04,"FLU A",174,85
"2015-01",2014-12-29,2015-01-04,"A",174,10
"2015-01",2014-12-29,2015-01-04,"A(H3N2)",174,12
